#bar veff Aleft Aright lambda deltaL deltaR tdcConvLeft tdcConvRight L
#N/A  cm/ns MeV MeV cm ns ns 1/ns 1/ns cm
1 13 0.00225 0.00225 108 0 0 1000 1000 40
2 13 0.00225 0.00225 108 0 0 1000 1000 40
3 13 0.00225 0.00225 108 0 0 1000 1000 40
4 13 0.00225 0.00225 108 0 0 1000 1000 40
5 13 0.00225 0.00225 108 0 0 1000 1000 40
6 13 0.00225 0.00225 108 0 0 1000 1000 40
7 13 0.00225 0.00225 108 0 0 1000 1000 40
8 13 0.00225 0.00225 108 0 0 1000 1000 40
9 13 0.00225 0.00225 108 0 0 1000 1000 40
